belboon productnumber	belboon programid	productnumber	EAN	productname	manufacturername	brandname	currentprice	oldprice	currency	validfrom	validuntil	deeplinkurl	basketurl	imagesmallurl	imagesmallheight	imagesmallwidth	imagebigurl	imagebigheight	imagebigwidth	productcategory	belboonproductcategory	productkeywords	productdescriptionshort	productdescriptionslong	lastupdate	shipping	availability	option1	option2	option3	option4	option5
14332_116938_34842702	14332	34842702		PUMA Schuhe Damen Sela X Wns schwarz			79.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/puma-schuhe/puma-style/puma-schuhe-damen-sela-x-wns-schwarz.html		http://www.sneakerworld.de/media/images/puma-348427021-thmb.jpg			http://www.sneakerworld.de/media/images/puma-34842702.jpg			puma fashion		PUMA Sneakers woman Sela X Wns schwarz Online Shop	Sneakers woman von Puma Sela X Wns black-metal silver-dark shadow		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_30091203	14332	30091203		PUMA Schuhe Sneakers - damen woman Star 1000 LO CANVAS rosewater / bright violet			69					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/specials/reduziert-502/woman/puma-schuhe-woman-star-1000-lo-canvas-rosewater.html		http://www.sneakerworld.de/media/images/600315_thb.jpg			http://www.sneakerworld.de/media/images/600315_big.jpg			woman		PUMA Schuhe Sneakers - damen woman Star 1000 LO CANVAS rosewater / bright violet versandkostenfrei im Online Shop			2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_2419-173-20PEARL	14332	2419-173-20PEARL		Vagabond Damenschuhe Pumps schwarz			54.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/damenschuhe-reduziert/vagabond-pump-black-3-3-2-22-3.html		http://www.sneakerworld.de/media/images/270075.jpg			http://www.sneakerworld.de/media/images/270075-2.jpg			reduzierte damenschuhe		Vagabond Damenschuhe Pump black Online Shop	stylicher Riemchen-Pump von Vagabond black		2009-09-22 14:26		3 Werktage	Vagabond Damenschuhe				
14332_116938_2446-040-53LABOR	14332	2446-040-53LABOR		Vagabond Damenstiefel olive			159					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/damenschuhe-reduziert/vagabond-stiefel-olive.html		http://www.sneakerworld.de/media/images/270082-2.jpg			http://www.sneakerworld.de/media/images/270082.jpg			reduzierte damenschuhe		Vagabond Schuhe - damen woman Stiefel tan versandkostenfrei im Online Shop	warmer gefÃÂ¼tterter Stiefel in schÃÂ¶nem olive		2009-09-22 14:26		3 Werktage	Vagabond Damenschuhe				
14332_116938_34465602	14332	34465602		PUMA Schuhe Sneakers - damen woman The Basket			99.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/specials/reduziert-502/woman/puma-schuhe-woman-the-basket-white-dark-shadow.html		http://www.sneakerworld.de/media/images/600361-2.jpg			http://www.sneakerworld.de/media/images/600361.jpg			woman		PUMA Schuhe Sneakers - damen woman The Basket white / dark shadow / baltic versandkostenfrei im Online Shop	white / dark shadow / baltic		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_34404714	14332	34404714		PUMA Schuhe Sela			89.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/puma-schuhe/puma-style/puma-schuhe-woman-sela-white-2.html		http://www.sneakerworld.de/media/images/puma_sela_white_thb.jpg			http://www.sneakerworld.de/media/images/puma_sela_white_big.jpg			puma fashion		Puma Schuhe Sneakers - damen woman Sela Wns versandkostenfrei im Online Shop	Sela white / covert green / birch Sneaker fÃÂ¼r Laufsteg und Shopping von Puma		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_5-5-28216-20	14332	5-5-28216-20		S Oliver Damenschuhe - Sling Sandale black			49.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/s-oliver-schuhe/soliver-sandale-black-2.html		http://www.sneakerworld.de/media/images/soliver_sandale_55281620_black_thb.jpg			http://www.sneakerworld.de/media/images/soliver_sandale_55281620_black.jpg			s oliver schuhe		S. Oliver Schuhe - damen woman Sandale versandkostenfrei im Online Shop	Sling-Sandale mit Absatz		2009-09-22 14:26		3 Werktage	S.Oliver				
14332_116938_1192-489WAIKIKI	14332	1192-489WAIKIKI		Whos that girl Damenschuhe - Sling Pump Waikiki coral			79					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/whos-that-girl-schuhe/whos-that-girl-schuhe-waikiki-coral.html		http://www.sneakerworld.de/media/images/whos_that_girl_waikiki_brown_thb.jpg			http://www.sneakerworld.de/media/images/whos_that_girl_waikiki_brown.jpg			whos that girl schuhe		Whos that girl Damenschuhe - Sling Pump Waikiki coral versandkostenfrei im Online Shop	Sling-Pump		2009-09-22 14:26		3 Werktage	whos that girl Fashion				
14332_116938_1191-22POND	14332	1191-22POND		Whos that girl Damenschuhe - Ballerina Pond pink			79					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/whos-that-girl-schuhe/whos-that-girl-schuhe-pond-pink.html		http://www.sneakerworld.de/media/images/whos_that_girl_pond_pink_thb.jpg			http://www.sneakerworld.de/media/images/whos_that_girl_pond_pink.jpg			whos that girl schuhe		Whos that girl Damenschuhe - Sling Pump Pond pink versandkostenfrei im Online Shop	Ballerina Pond pink		2009-09-22 14:26		3 Werktage	whos that girl Fashion				
14332_116938_1191-20POND	14332	1191-20POND		Whos that girl Damenschuhe - Ballerina Pond red			79					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/whos-that-girl-schuhe/whos-that-girl-schuhe-pond-red.html		http://www.sneakerworld.de/media/images/whos_that_girl_pond_red_thb.jpg			http://www.sneakerworld.de/media/images/whos_that_girl_pond_red.jpg			whos that girl schuhe		Whos that girl Damenschuhe - Sling Pump Pond red versandkostenfrei im Online Shop	Ballerina Pond red		2009-09-22 14:26		3 Werktage	whos that girl Fashion				
14332_116938_2512-102-50Ball	14332	2512-102-50Ball		Vagabond Damenschuhe Ballerina rot			49.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/damenschuhe-reduziert/vagabond-ballerina-raspberry.html		http://www.sneakerworld.de/media/images/270093.jpg			http://www.sneakerworld.de/media/images/270093-2.jpg			reduzierte damenschuhe		Vagabond Damenschuhe Ballerina raspberry Online Shop	City-Ballerina von Vagabond in raspberry		2009-09-22 14:26		3 Werktage	Vagabond Damenschuhe				
14332_116938_20720201creme	14332	20720201creme		VIA UNO - Damen Schuhe Sandalette			69.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/via-uno-schuhe-stiefel/via-uno-sandalette-cream.html		http://www.sneakerworld.de/media/images/via_uno_sandale_20720201_thb.jpg			http://www.sneakerworld.de/media/images/via_uno_sandale_20720201.jpg			via uno schuhe		VIA UNO Schuhe - damen woman Sandallette cream versandkostenfrei im Online Shop	Via Uno Sandalette cream		2009-09-22 14:26		3 Werktage	VIA UNO Damenschuhe				
14332_116938_via20716503	14332	via20716503		VIA UNO - Damen Schuhe Ballerina			84.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/via-uno-schuhe-stiefel/via-uno-ballerina-black-12.html		http://www.sneakerworld.de/media/images/via_uno_ballerina_20716503_black_thb.jpg			http://www.sneakerworld.de/media/images/via_uno_ballerina_20716503_black.jpg			via uno schuhe		VIA UNO Schuhe - damen woman Ballerina black versandkostenfrei im Online Shop	Via Uno Pumps black		2009-09-22 14:26		3 Werktage	VIA UNO Damenschuhe				
14332_116938_5-5-22160-20	14332	5-5-22160-20		Comma Damenschuhe - Pump black			84.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/comma-schuhe/comma-pump-black.html		http://www.sneakerworld.de/media/images/comma_pumps_black_5_5_22160_thb.jpg			http://www.sneakerworld.de/media/images/comma_pumps_black_5_5_22160.jpg			comma schuhe		Comma Schuhe - damen woman Pump black versandkostenfrei im Online Shop	black		2009-09-22 14:26		3 Werktage	Comma Damenschuhe				
14332_116938_5-5-22391-20	14332	5-5-22391-20		S Oliver Damenschuhe - Ballerina black			74.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-damen/s-oliver-schuhe/soliver-ballerina-black-2.html		http://www.sneakerworld.de/media/images/soliver_pumps_5522391_black_thb.jpg			http://www.sneakerworld.de/media/images/soliver_pumps_5522391_black.jpg			s oliver schuhe		S. Oliver Schuhe - damen woman Ballerina black versandkostenfrei im Online Shop	black		2009-09-22 14:26		3 Werktage	S.Oliver				
14332_116938_344933010Iffley2	14332	344933010Iffley2		PUMA Schuhe Iffley			74.95					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/pumaschuhe/puma-racing/puma-schuhe-iffley-ii-black.html		http://www.sneakerworld.de/media/images/puma_iffley_ii_black_thb.jpg			http://www.sneakerworld.de/media/images/puma_iffley_ii_black.jpg			puma speed		Puma Schuhe Sneakers - Iffley II black versandkostenfrei im Online Shop	Iffley black pale gold - so muÃÂ ein klassischer Sneaker aussehen Tipp		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_MCDR058BKSideSli	14332	MCDR058BKSideSli		Draven Side Slip On			49.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/draven-sneakers/draven-schuhe-man-side-slip-on-black.html		http://www.sneakerworld.de/media/images/draven_side_thb.jpg			http://www.sneakerworld.de/media/images/draven_side.jpg			draven		Draven - Herren Schuhe Side Slip On black	black		2009-09-22 14:26		3 Werktage	Draven Sneakers				
14332_116938_34700802	14332	34700802		Mihara Schuhe MY-24 rot by Puma			149.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/puma-mihara/puma-schuhe-man-my-24-ketchup-yellow.html		http://www.sneakerworld.de/media/images/puma_my_24_ketchup_thb.jpg			http://www.sneakerworld.de/media/images/puma_my_24_ketchup.jpg			mihara		Yasuhiro Mihara Designerschuhe MY-24 ketchup / yellow by Puma versandkostenfrei im Online Shop	Designer Sneaker von Yasuhiro Mihara MY-24 in zusammenarbeit mit Puma		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_34700702	14332	34700702		Mihara Schuhe MY-25 rot by Puma			169.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/schuhe-herren/puma-mihara/puma-schuhe-man-my-25-ketchup.html		http://www.sneakerworld.de/media/images/puma_my25_ketchup_thb.jpg			http://www.sneakerworld.de/media/images/puma_my25_ketchup.jpg			mihara		Yasuhiro Mihara Designerschuhe MY-25 ketchup / orange by Puma versandkostenfrei im Online Shop	halbhoher Designer Sneaker von Yasuhiro Mihara MY-25 featured byPuma		2009-09-22 14:26		3 Werktage	Puma Schuhe				
14332_116938_34549402	14332	34549402		Puma Sneaker Disc Blaze 90			119.5					http://www1.belboon.de/adtracking/02d12508286a01c8ca0037fc.html/&deeplink=http://www.sneakerworld.de/sneakers-damen/puma-schuhe/puma-limited/puma-schuhe-man-disc-blaze-90-white-blue.html		http://www.sneakerworld.de/media/images/puma_disc_blaze_90_white_blue_thb.jpg			http://www.sneakerworld.de/media/images/puma_disc_blaze_90_white_blue.jpg			puma limited		Puma Disc Blaze 90 white / blue atoll / golden poppy	Disc Blaze 90 High Tech Kultschuh von Puma white / blue atoll / golden poppy		2009-09-22 14:26		3 Werktage	Puma Schuhe				
